system,noise,snr_db,PESQ,SIG,BAK,OVRL,CSIG,CBAK,COVL,n_files
SEM,living,7.5,1.5182014590217954,3.3165442247423105,3.136595853697862,2.665094005007211,2.597374687545332,1.7142332992508404,2.0073937658885193,42
SEM,living,12.5,1.7865695868219649,3.4476934630863703,3.3870417565249227,2.8290205038252956,3.0440349547691783,1.9525676683445243,2.3782859266014973,42
SEM,living,17.5,2.346336525678635,3.407689191533822,3.568467943423709,2.893881778531514,3.545786272927871,2.3687965803456756,2.9282015474024083,40
SEM,office,2.5,2.0077018082141875,3.4048262245312584,3.704209550203571,2.9465713300482097,3.3332129801946806,1.9770951372145262,2.641611509501262,40
SEM,office,7.5,2.582193979402868,3.353138605258,3.8888181536095514,2.9914611217884146,3.9751523525833536,2.3612290295282263,3.269413342187226,41
SEM,office,12.5,2.956867751621065,3.4215605386655548,3.9591025484094073,3.094429910916224,4.352180665856423,2.6401419857242523,3.661260900884054,42
SEM,office,17.5,3.3734301590337985,3.436268105576613,4.029522147638423,3.1433630584536374,4.732056609449178,2.977222305363878,4.089848446108623,41
SEM,psquare,2.5,1.317152962452028,3.298086234252901,3.002148920540685,2.5824919295490445,2.6783489958232645,1.5283512404523076,1.9347748558659945,41
SEM,psquare,7.5,1.5736264217467535,3.4171365212949705,3.2982345094777745,2.7918394767076533,3.041913245457846,1.7808255940657562,2.2666614223280215,42
SEM,psquare,12.5,1.972677181406719,3.4888518111695053,3.6172147136323227,2.981470515716337,3.5571250447272464,2.091538175021931,2.7435791267367753,41
SEM,psquare,17.5,2.5870986609231856,3.454455699165216,3.698890036082952,3.00541206291728,4.0442272806975925,2.5198091262242652,3.3068572441956445,42
SEM_lit,bus,2.5,1.9984664150646754,3.291800559827413,3.5460270291128624,2.792844777489529,3.330218544385367,1.9688716439134906,2.615238959984248,42
SEM_lit,bus,7.5,2.574346905801354,3.380453136458578,3.8295849396325967,2.9858424385340587,3.9356073536288845,2.3932403610509105,3.2337077390756317,41
SEM_lit,bus,12.5,2.8784088303403155,3.3668311376273934,3.8871818875704482,3.008137020291466,4.297100115353141,2.6540149630843786,3.5840501895407133,41
SEM_lit,bus,17.5,3.287844941020012,3.3756506605196983,3.9142601244645383,3.034529245371808,4.626638151026919,2.9406153644191906,3.9906677020197505,40
SEM_lit,cafe,2.5,1.201144828682854,2.55641975963576,2.2301035292973816,1.9172909856742084,1.9711929697947743,1.4671101314925645,1.4979717323782578,42
SEM_lit,cafe,7.5,1.448320460319519,3.2486714219749615,3.0501457157354865,2.5356677304762343,2.5754592631555093,1.7476116445808576,1.9529563439006143,40
SEM_lit,cafe,12.5,1.7362435561854666,3.3552731063507673,3.3265594933165965,2.7286999748209224,3.0424360793814853,2.0099889743859793,2.35039187824649,41
SEM_lit,cafe,17.5,2.2615631382639814,3.356459178835942,3.591835829778327,2.866125405271109,3.604817080556739,2.356276876580802,2.9122429684587243,41
SEM_lit,living,2.5,1.2791062536693754,2.977771728403049,2.618357800803042,2.232815406544295,2.127714878973433,1.5263202189038074,1.6193072854419237,42
SEM_lit,living,7.5,1.582057529971713,3.250620998397964,3.242425991226546,2.6358564928906922,2.5947175927616075,1.836566333108328,2.039031811550397,42
SEM_lit,living,12.5,1.9112109996023632,3.3378782545425647,3.4914032176712406,2.781911102213026,3.089890027845839,2.099135596102493,2.4643301842968084,42
SEM_lit,living,17.5,2.352213349938393,3.318939462782508,3.6133085655909296,2.832673222181908,3.517764113226515,2.4112632661990547,2.916868016328967,40
SEM_lit,office,2.5,2.135616275668144,3.303083705204435,3.79984035440057,2.905051108689508,3.4001576503237585,2.1136271377735794,2.741397812316774,40
SEM_lit,office,7.5,2.6545504011758942,3.2832405467685257,3.9346511502507004,2.9521179449546024,3.99218354855857,2.476060063547238,3.3152110263506125,41
SEM_lit,office,12.5,2.912894552662259,3.3465042815633472,3.989116097158425,3.041783305611941,4.30417006134508,2.695083650977094,3.6155073089965875,42
SEM_lit,office,17.5,3.356806755065918,3.3680248407365956,4.023826969085147,3.077973887631373,4.709393929214476,3.006819502796046,4.067706803621546,41
