system,noise,snr_db,metric,n,mean,ci_low,ci_high,nu_mean
AIDA2_thetaWFB,cafe,2.5,COVL,42,1.4970386028289795,1.4128599166870117,1.5797103643417358,23.853757858276367
AIDA2_thetaWFB,cafe,7.5,PESQ,40,1.3617860078811646,1.298608660697937,1.4270151853561401,20.241106033325195
AIDA2_thetaWFB,cafe,7.5,CSIG,40,2.49745774269104,2.3559813499450684,2.6349778175354004,23.790912628173828
AIDA2_thetaWFB,cafe,7.5,CBAK,40,1.7822211980819702,1.73405921459198,1.8322945833206177,21.921390533447266
AIDA2_thetaWFB,cafe,7.5,COVL,40,1.8692357540130615,1.771054744720459,1.9650797843933105,23.37212562561035
AIDA2_thetaWFB,cafe,12.5,PESQ,41,1.5637989044189453,1.4743307828903198,1.6522294282913208,25.300296783447266
AIDA2_thetaWFB,cafe,12.5,CSIG,41,2.9171149730682373,2.803183078765869,3.034743309020996,23.82875633239746
AIDA2_thetaWFB,cafe,12.5,CBAK,41,1.9716541767120361,1.9257535934448242,2.017094135284424,24.59909439086914
AIDA2_thetaWFB,cafe,12.5,COVL,41,2.1975386142730713,2.0903289318084717,2.29984450340271,25.67528533935547
AIDA2_thetaWFB,cafe,17.5,PESQ,41,1.756805658340454,1.6900835037231445,1.8254865407943726,22.557926177978516
AIDA2_thetaWFB,cafe,17.5,CSIG,41,3.2536728382110596,3.1658411026000977,3.3444857597351074,24.0579776763916
AIDA2_thetaWFB,cafe,17.5,CBAK,41,2.126040458679199,2.088320016860962,2.1654212474823,23.83827018737793
AIDA2_thetaWFB,cafe,17.5,COVL,41,2.47847318649292,2.401308059692383,2.554067611694336,24.082918167114258
AIDA2_thetaWFB,living,2.5,PESQ,42,1.264454960823059,1.2129076719284058,1.318605661392212,20.385112762451172
AIDA2_thetaWFB,living,2.5,CSIG,42,2.1446712017059326,2.0253279209136963,2.2506725788116455,10.963451385498047
AIDA2_thetaWFB,living,2.5,CBAK,42,1.6388158798217773,1.5955098867416382,1.6813642978668213,22.09756088256836
AIDA2_thetaWFB,living,2.5,COVL,42,1.6165827512741089,1.5480159521102905,1.678255319595337,12.505040168762207
AIDA2_thetaWFB,living,7.5,PESQ,42,1.4546488523483276,1.377963662147522,1.5296833515167236,21.528507232666016
